Amherst,MA,42.373222,-72.519854,37819,44.6,91.7,63354,8,2.8,103.5
Ann Arbor,MI,42.280826,-83.743038,120782,27.8,96.4,55990,23.4,17.9,143.5
Athens,GA,33.951935,-83.357567,123371,39.2,83.4,47542,13,5.4,290.1
Atlanta,GA,33.748995,-84.387982,472522,33.4,89,47527,24.6,7.3,607
Austin,TX,30.267153,-97.743061,947890,29,95.9,70652,7.7,3.8,333.8
Baltimore,MD,39.290385,-76.612189,614664,34.6,82.5,42241,23.7,7.7,698.3
Berkeley,CA,37.871593,-122.272747,121240,31.4,95.7,66237,20.4,20.9,374.6
Bethlehem,PA,40.625932,-75.370458,673184,35.5,87,47291,17.5,8.4,206.3
Binghamton,NY,42.098687,-75.917974,45672,36.2,84.4,29824,33.9,9.1,442.6
Blacksburg,VA,37.229573,-80.413939,45038,,,,,,87.8
Bloomington,IN,39.165325,-86.526386,84465,42.5,96.7,47083,1.6,1.6,288
Boston,MA,42.360082,-71.058880,673184,38.6,74,24261,32.8,5.7,303.5
Boulder,CO,40.014986,-105.270546,108090,28.3,96.3,58484,23.1,10.3,
Buffalo,NY,42.886447,-78.878369,256902,41.8,84.2,44922,6.5,1.1,
Burlington,VT,44.475882,-73.212072,42260,38.6,81.7,42457,14.9,8.4,
Cambridge,MA,42.373616,-71.109734,110651,55.5,80.4,28750,12,1.6,
Champaign,IL,40.116420,-88.243383,86637,27.2,95,42094,28.2,14.7,
Chapel Hill,NC,35.913200,-79.055845,59246,,,,,,
Charlottesville,VA,38.029306,-78.476678,46597,,,,,,
Chestnut Hill,MA,42.330380,-71.166187,40216,,,,,,
Chicago,IL,41.878114,-87.629798,2704958,33.7,82.3,48522,22.3,21.1,
Clemson,SC,34.683438,-82.837365,16058,23.1,96.4,34700,39.8,11.8,
Cleveland,OH,41.499320,-81.694361,385809,28.6,91.1,33494,17,0.6,
College Park,MD,38.989697,-76.937760,32275,31,78.6,27570,38.4,5.1,
College Station,TX,30.627977,-96.334407,112141,22.5,93.6,34186,34.7,13.3,
Columbus,OH,39.961176,-82.998794,860090,33.5,86.4,42306,20.5,5.4,
Coral Gables,FL,25.721490,-80.268384,50815,41.4,95.5,93934,7.6,38,
